54,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,54
54,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,54
54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54
54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54
54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54
54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54
54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54
54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54
54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
